s,Poisson,Wigner_GOE,Hist_GOE,Wigner_GUE,Hist_GUE,Wigner_GSE,Hist_GSE
0.0333,0.967216,0.052314,0.052122,0.003597,0.004853,0.000014,0.000126
0.1000,0.904837,0.155851,0.161031,0.032013,0.031513,0.001134,0.001702
0.1667,0.846482,0.256150,0.268048,0.086934,0.090504,0.008403,0.007941
0.2333,0.791890,0.351177,0.370591,0.164702,0.169349,0.030391,0.031576
0.3000,0.740818,0.439079,0.456054,0.260211,0.265525,0.076626,0.077521
0.3667,0.693041,0.518243,0.528282,0.367325,0.370147,0.154627,0.158004
0.4333,0.648344,0.587343,0.602148,0.479359,0.484727,0.267336,0.273592
0.5000,0.606531,0.645381,0.659186,0.589590,0.604475,0.411607,0.411681
0.5667,0.567414,0.691701,0.709859,0.691741,0.694853,0.578107,0.586576
0.6333,0.530819,0.725998,0.730657,0.780398,0.789328,0.752633,0.762353
0.7000,0.496585,0.748310,0.760658,0.851325,0.860861,0.918469,0.924895
0.7667,0.464559,0.758995,0.752401,0.901665,0.890042,1.059203,1.060588
0.8333,0.434598,0.758696,0.748998,0.930009,0.920924,1.161368,1.163130
0.9000,0.406570,0.748301,0.736645,0.936347,0.924832,1.216380,1.217017
0.9667,0.380349,0.728892,0.709292,0.921918,0.910777,1.221440,1.200819
1.0333,0.355819,0.701694,0.688052,0.888979,0.882227,1.179382,1.179454
1.1000,0.332871,0.668019,0.635930,0.840529,0.831933,1.097623,1.081576
1.1667,0.311403,0.629216,0.606308,0.780014,0.766765,0.986554,0.972101
1.2333,0.291320,0.586622,0.564711,0.711044,0.714643,0.857767,0.850966
1.3000,0.272532,0.541520,0.525509,0.637137,0.634475,0.722430,0.720567
1.3667,0.254955,0.495102,0.471748,0.561523,0.552794,0.590079,0.576429
1.4333,0.238513,0.448444,0.433239,0.486987,0.477857,0.467894,0.472437
1.5000,0.223130,0.402485,0.399520,0.415787,0.407647,0.360482,0.358235
1.5667,0.208740,0.358014,0.349478,0.349616,0.356786,0.270052,0.273529
1.6333,0.195278,0.315669,0.310276,0.289616,0.286387,0.196846,0.197836
1.7000,0.182684,0.275935,0.277502,0.236424,0.236092,0.139691,0.144139
1.7667,0.170902,0.239156,0.236094,0.190242,0.194874,0.096560,0.103298
1.8333,0.159880,0.205545,0.199161,0.150928,0.157500,0.065045,0.069013
1.9000,0.149569,0.175196,0.178615,0.118078,0.120693,0.042717,0.045378
1.9667,0.139922,0.148107,0.152522,0.091113,0.092962,0.027359,0.029748
2.0333,0.130898,0.124192,0.128068,0.069356,0.075189,0.017095,0.018340
2.1000,0.122456,0.103303,0.111997,0.052087,0.051744,0.010424,0.011092
2.1667,0.114559,0.085244,0.091513,0.038600,0.041408,0.006204,0.007815
2.2333,0.107171,0.069787,0.072921,0.028230,0.028172,0.003606,0.004475
2.3000,0.100259,0.056684,0.062459,0.020377,0.021303,0.002046,0.002773
2.3667,0.093793,0.045683,0.052563,0.014519,0.017836,0.001134,0.001387
2.4333,0.087744,0.036531,0.042668,0.010212,0.011597,0.000614,0.000882
2.5000,0.082085,0.028988,0.035925,0.007091,0.008256,0.000325,0.000189
2.5667,0.076791,0.022826,0.027668,0.004862,0.006555,0.000168,0.000504
2.6333,0.071839,0.017837,0.021114,0.003291,0.004034,0.000085,0.000126
2.7000,0.067206,0.013833,0.017458,0.002200,0.002584,0.000042,0.000189
2.7667,0.062871,0.010646,0.014370,0.001453,0.001828,0.000020,0.000000
2.8333,0.058816,0.008132,0.011093,0.000947,0.001387,0.000010,0.000000
2.9000,0.055023,0.006165,0.009076,0.000610,0.000252,0.000004,0.000000
2.9667,0.051475,0.004639,0.006240,0.000388,0.000630,0.000002,0.000000
3.0333,0.048155,0.003464,0.005168,0.000244,0.000315,0.000001,0.000000
3.1000,0.045049,0.002568,0.003340,0.000151,0.000252,0.000000,0.000000
3.1667,0.042144,0.001889,0.003088,0.000093,0.000189,0.000000,0.000000
3.2333,0.039426,0.001380,0.001828,0.000056,0.000000,0.000000,0.000000
3.3000,0.036883,0.001000,0.001639,0.000034,0.000063,0.000000,0.000000
3.3667,0.034504,0.000720,0.001261,0.000020,0.000000,0.000000,0.000000
3.4333,0.032279,0.000514,0.001197,0.000012,0.000063,0.000000,0.000000
3.5000,0.030197,0.000365,0.000756,0.000007,0.000000,0.000000,0.000000
3.5667,0.028250,0.000257,0.000630,0.000004,0.000000,0.000000,0.000000
3.6333,0.026428,0.000179,0.000252,0.000002,0.000000,0.000000,0.000000
3.7000,0.024724,0.000124,0.000567,0.000001,0.000000,0.000000,0.000000
3.7667,0.023129,0.000086,0.000126,0.000001,0.000000,0.000000,0.000000
3.8333,0.021637,0.000059,0.000189,0.000000,0.000000,0.000000,0.000000
3.9000,0.020242,0.000040,0.000126,0.000000,0.000000,0.000000,0.000000
3.9667,0.018936,0.000027,0.000063,0.000000,0.000000,0.000000,0.000000
